,tweets
95,have been allowed to run  guilty as hell they were very nice to her she lost because she campaigned in the wrong states  no enthusiasm
96,what are hilary clinton people complaining about with respect to the fbi based on the information they had she should never
97,released by inteligence even knowing there is no prof and never will be my people will have a full report on hacking within 90 days
98,totally made up facts by sleazebag political operatives both democrats and republicans  fake news rusia says nothing exists probably
99,it now turns out that the phony allegations against me were put together by my political opponents and a failed spy afraid of being sued
100,all of my cabinet nominee are looking good and doing a great job i want them to be themselves and express their own thoughts not mine
101,congrats to the senate for taking the first step to repealobamacare now it onto the house
102,is in a total meltdown with their fake news because their ratings are tanking since election and their credibility will soon be gone
103,thank you to linda bean of llbean for your great support and courage people will support you even more now buy llbean
104,james clapper called me yesterday to denounce the false and fictitious report that was illegally circulated made up phony factsto bad
105,amy3  it morning in america again ☀️☀️☀️thank you presidentelect donald trump so proud of you thanks
106,we had a great news conference at trump tower today a couple of fake news organizations were there but the people truly get what going on
107,intelligence agencies should never have allowed this fake news to leak into the public one last shot at meare we living in nazi germany
108,i win an election easily a great movement is verified and crooked opponents try to belittle our victory with fake news a sorry state
109,rusia has never tried to use leverage over me i have nothing to do with rusia  no deals no loans no nothing
110,rusia just said the unverified report paid for by political opponents is a complete and total fabrication utter nonsense very unfair
111,buzfed runs unverifiable trumprusia claims fakenews
112,rt  i have never been to prague in my life fakenews
113,fake news  a total political witch hunt
114,trump helps lift small business confidence to 12yr high
115,mal business optimism soars after trump election
116,us smalbusines optimism index surges by most since 1980
117,thank you to all of the men and women who protect  serve our communities 247365 lawenforcementapreciationday…
118,an old picture with nancy and ronald reagan
119,ford said last week that it will expand in michigan and us instead of building a billion dollar plant in mexico thank you ford  fiat c
120,it finally happening  fiat chrysler just announced plans to invest 1bilion in michigan and ohio plants adding 200 jobs this after
121,groveling when he totally changed a 16 year old story that he had written in order to make me look bad just more very dishonest media
122,hilary flunky who lost big for the 100th time i never mocked a disabled reporter would never do that but simply showed him
123,meryl strep one of the most overrated actresses in holywod does nt know me but attacked last night at the golden globes she is a
